filename,plate,view,illumination,glare,blur,low_contrast,follows_protocol,notes
0142KXK.jpg,0142KXK,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0239KVJ.jpg,0239KVJ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0343LSY.jpg,0343LSY,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0367HCY.jpg,0367HCY,Frontal,sunlight,no,no,yes,no,"matricula trasera, coche negro"
0380MRC.jpg,0380MRC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0406MWM.jpg,0406MWM,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0455HPJ.jpg,0455HPJ,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0555MNR.jpg,0555MNR,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0577HVC.jpg,0577HVC,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0703LWB.jpg,0703LWB,Frontal,sunlight,no,no,no,no,"coche amarillo, alto contraste"
0787NCP.jpg,0787NCP,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0934LWL.jpg,0934LWL,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
0998LBZ.jpg,0998LBZ,Frontal,sunlight,no,no,no,no,
1018KMF.jpg,1018KMF,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1041GSP.jpg,1041GSP,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1152HGD.jpg,1152HGD,Frontal,sunlight,no,no,no,no,"lote 2 (Xiaomi), exterior soleado"
1219DCS.jpg,1219DCS,Frontal,sunlight,yes,no,yes,no,"carroceria negra, reflejos"
1374KKD.jpg,1374KKD,Frontal,sunlight,no,no,no,no,matricula sucia y danada
