stem,x1,y1,x2,y2,x3,y3,x4,y4
n_F_0406MWM,0.429622,0.354342,0.608193,0.389356,0.607143,0.443978,0.432773,0.407563
n_F_0703LWB,0.534664,0.523810,0.717437,0.502801,0.712185,0.553221,0.532563,0.581232
n_F_1018KMF,0.308824,0.592437,0.498950,0.606443,0.500000,0.668067,0.308824,0.651261
n_F_1219DCS,0.578782,0.612045,0.801471,0.574230,0.797269,0.640056,0.585084,0.684874
n_F_1374KKD,0.352941,0.554622,0.590336,0.585434,0.587185,0.644258,0.361345,0.623249
n_F_1430JMK,0.319328,0.567227,0.492647,0.584034,0.489496,0.637255,0.320378,0.619048
n_F_1484LRT,0.510504,0.584034,0.700630,0.609244,0.698529,0.658263,0.509454,0.640056
n_F_1553MVV,0.515756,0.457983,0.665966,0.452381,0.671218,0.502801,0.521008,0.509804
n_F_1690LPD,0.359244,0.560224,0.529412,0.571429,0.524160,0.623249,0.363445,0.605042
n_F_1831FBZ,0.366597,0.436975,0.571429,0.457983,0.574580,0.512605,0.375000,0.495798
n_F_2164HPT,0.409664,0.733894,0.758403,0.675070,0.753151,0.773109,0.418067,0.826331
n_F_2235LSY,0.461134,0.560224,0.656513,0.581232,0.653361,0.640056,0.467437,0.613445
n_F_2268KCB,0.404412,0.637255,0.710084,0.564426,0.706933,0.633053,0.413866,0.724090
n_F_2470JWG,0.390756,0.385154,0.532563,0.406162,0.527311,0.455182,0.396008,0.439776
n_F_2562JPC,0.474790,0.675070,0.722689,0.647059,0.720588,0.715686,0.477941,0.747899
n_F_3004KVC,0.316176,0.442577,0.496849,0.487395,0.491597,0.547619,0.315126,0.495798
n_F_3333LGP,0.548319,0.509804,0.743697,0.415966,0.740546,0.480392,0.552521,0.571429
n_F_3723DBL,0.464286,0.592437,0.676471,0.621849,0.673319,0.679272,0.470588,0.649860
n_F_3987KFV,0.384454,0.446779,0.526261,0.495798,0.521008,0.544818,0.382353,0.494398
n_F_4196GPZ,0.443277,0.694678,0.608193,0.719888,0.609244,0.766106,0.440126,0.749300
n_F_4364LRV,0.368697,0.456583,0.507353,0.474790,0.506303,0.523810,0.369748,0.498599
