stem,split,status,when
n_F_0142KXK,train,drawn,2026-09-18T19:50:05
n_F_0239KVJ,val,drawn,2026-09-18T19:54:34
n_F_0343LSY,train,approved,2026-09-18T20:29:15
n_F_0367HCY,train,approved,2026-09-18T20:29:04
n_F_0380MRC,train,drawn,2026-09-18T19:50:22
n_F_0406MWM,train,quad,2026-09-18T20:11:11
n_F_0455HPJ,train,drawn,2026-09-18T19:50:40
n_F_0555MNR,train,approved,2026-09-18T20:29:04
n_F_0577HVC,train,drawn,2026-09-18T19:50:46
n_F_0703LWB,val,quad,2026-09-18T20:22:17
n_F_0787NCP,val,drawn,2026-09-18T19:54:38
n_F_0934LWL,train,drawn,2026-09-18T19:50:51
n_F_0998LBZ,train,approved,2026-09-18T20:29:22
n_F_1018KMF,train,quad,2026-09-18T20:24:29
n_F_1041GSP,train,approved,2026-09-18T20:29:24
n_F_1152HGD,val,drawn,2026-09-18T19:54:45
n_F_1219DCS,train,quad,2026-09-18T20:20:22
n_F_1374KKD,train,quad,2026-09-18T20:26:15
n_F_1430JMK,train,quad,2026-09-18T20:24:04
n_F_1484LRT,train,quad,2026-09-18T20:22:26
n_F_1553MVV,train,quad,2026-09-18T20:26:08
n_F_1585LLD,train,drawn,2026-09-18T19:50:57
n_F_1690LPD,train,quad,2026-09-18T20:12:35
n_F_1831FBZ,train,quad,2026-09-18T20:27:12
n_F_1885GBV,train,approved,2026-09-18T20:29:01
n_F_2164HPT,train,quad,2026-09-18T20:24:46
n_F_2177JSZ,train,approved,2026-09-18T20:28:59
n_F_2235LSY,train,quad,2026-09-18T20:21:58
n_F_2268KCB,train,quad,2026-09-18T20:18:59
n_F_2299KYH,train,approved,2026-09-18T20:29:13
n_F_2301JTC,train,confirmed,2026-09-19T19:35:58
n_F_2302NJV,train,drawn,2026-09-18T19:51:05
n_F_2408MZZ,train,approved,2026-09-18T20:28:55
n_F_2440JVJ,val,drawn,2026-09-18T19:54:49
n_F_2469GGD,val,drawn,2026-09-18T19:54:54
n_F_2470JWG,train,quad,2026-09-18T20:10:32
n_F_2488GLC,train,drawn,2026-09-18T19:51:20
n_F_2562JPC,train,quad,2026-09-18T20:25:06
n_F_2615KFS,val,approved,2026-09-18T20:29:11
n_F_2671DVF,train,drawn,2026-09-18T19:51:26
n_F_2677LSJ,train,confirmed,2026-09-19T19:36:01
n_F_3004KVC,train,quad,2026-09-18T20:20:05
n_F_3014HHC,train,approved,2026-09-18T20:29:18
n_F_3120KRV,val,approved,2026-09-18T20:29:16
n_F_3161FFN,train,drawn,2026-09-18T19:51:29
n_F_3333LGP,train,quad,2026-09-18T20:09:31
n_F_3366JWC,train,confirmed,2026-09-19T19:36:05
n_F_3580KGC,val,approved,2026-09-18T20:29:21
n_F_3723DBL,val,quad,2026-09-18T20:23:43
n_F_3922CDX,train,drawn,2026-09-18T19:51:48
n_F_3964KKK,val,approved,2026-09-18T20:29:24
n_F_3987KFV,train,quad,2026-09-18T20:22:46
n_F_4189JPV,train,approved,2026-09-18T20:29:16
n_F_4196GPZ,val,quad,2026-09-18T20:19:35
n_F_4201MSC,train,drawn,2026-09-18T19:51:52
n_F_4364LRV,train,quad,2026-09-18T20:12:14
n_F_4562JRS,train,drawn,2026-09-18T19:51:59
n_F_4618JGP,train,drawn,2026-09-18T19:52:03
n_F_4781GTW,train,approved,2026-09-18T20:29:28
n_F_4872NDG,val,drawn,2026-09-18T19:55:02
